GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gutenberg,main.dao,BookDAOMySQL,434,14,24,0,109,6,16,2,4,2
gutenberg,main.dao,BookDAOMongo,8,14,0,0,4,6,4,2,4,2
gutenberg,main.dto,Author,0,28,0,0,0,13,0,6,0,6
gutenberg,main.dto,Book,34,83,0,0,13,34,4,15,4,15
gutenberg,main.dto,Location,0,46,0,0,0,20,0,10,0,10
gutenberg,main.exception,ConnectionAlreadyClosedException,4,0,0,0,2,0,1,0,1,0
gutenberg,main.exception,BookNotFoundException,0,4,0,0,0,2,0,1,0,1
gutenberg,main.api,HelloWorld,5,0,0,0,2,0,2,0,2,0
gutenberg,main.util,DBConnectorMongo,32,34,0,0,4,12,1,2,1,2
gutenberg,main.util,DBConnectorMySQL,51,39,10,0,12,13,7,2,2,2
gutenberg,main.facade,BookFacade,0,68,0,8,0,19,0,9,0,5
